yingay,should (Chi)
ciyaw,need (Chi)
diban,floor (Chi)
djindza,mirror (Chi)
cwetsaw,sink (Chi)
iyan,same (Chi)
cyecye,thank (Chi)
tcumo,feel (Chi)
dwo,more (Chi)
caw,less (Chi)
ca,try (Chi)
djiyo,only (Chi)
roni,easy (Chi)
cu,book (Chi)
buyiyan,different (Chi)
du,read (Chi)
gaybyen,change (Chi)
gundji,tool (Chi)
minbay,understand (Chi)
cye,write (Chi)
yentcen,circle (Chi)
man,door (Chi)
gwan,light (Chi)
canin,sound (Chi)
djwodza,table (Chi)
djanfancin,square (Chi)
sandjyaw,triangle (Chi)
cawu,food (Chi)
tcin,please (Chi)
dwebutci,sorry (Chi)
cihwan,like (Chi)
kway,fast (Chi)
panbyen,beside (Chi)
tcyan,strong (Chi)
dan,wait (Chi)
naga,the (Chi)
may,buy (Chi)
lan,blue (Chi)
dzu,group (Chi)
ifu,clothes (Chi)
tcyen,money (Chi)
kon,hole (Chi)
ca,silly (Chi)
wan,finish (Chi)
hwa,draw (Chi)
fanyi,translate (Chi)
bay,hundred (Chi)
tcyen,thousand (Chi)
may,sell (Chi)
djya,add (Chi)
tcutci,remove (Chi)
tuhwa,picture (Chi)
lini,shower (Chi)
ditan,carpet (Chi)
tcoti,drawer (Chi)
bitcu,closet (Chi)
djintyen,today (Chi)
dzwotyen,yesterday (Chi)
mintyen,tomorrow (Chi)
cyondidjyemey,sibling (Chi)
tcin,parent (Chi)
cyandji,camera (Chi)
dzwotsay,cook (Chi)
tcwan,wear (Chi)
dwocaw,howmuch (Chi)
cyendzay,now (Chi)
tcan,taste (Chi)
tcumo,touch (Chi)
tay,too (Chi)
ye,also (Chi)
bey,north (Chi)
nan,south (Chi)
don,east (Chi)
ci,west (Chi)
tcyen,forward (Chi)
how,backward (Chi)
nay,milk (Chi)
dji,chicken (Chi)
maw,cat (Chi)
dacan,loud (Chi)
tyentci,weather (Chi)
dyendzayodjyen,email (Chi)
wan,internet (Chi)
beydza,cup (Chi)
pandza,plate (Chi)
wan,bowl (Chi)
tcadza,fork (Chi)
cawdza,spoon (Chi)
kwaydza,chopstick (Chi)
bi,than (Chi)
dzay,again (Chi)
,thats (Chi)
dzwe,most (Chi)
wanti,problem (Chi)
djyeda,solution (Chi)
wan,ask (Chi)
hweda,answer (Chi)
swoyi,so (Chi)
bandju,help (Chi)
djida,remember (Chi)
yidza,chair (Chi)
djacye,these (Chi)
nacye,those (Chi)
ma,? (Chi)
djaw,search (Chi)
payci,sort (Chi)
paydwe,queue (Chi)
rwandjyen,software (Chi)
indon,exercise (Chi)
