pol,floor (Rus)
zerkala,mirror (Rus)
umivalnik,sink (Rus)
taje,same (Rus)
spasiba,thankyou (Rus)
tcustva,feel (Rus)
bolci,more (Rus)
menci,less (Rus)
pitay,try (Rus)
tolka,only (Rus)
lyohki,easy (Rus)
kniga,book (Rus)
drugoy,different (Rus)
tcita,read (Rus)
izmini,change (Rus)
instrumyent,tool (Rus)
panima,understand (Rus)
pisa,write (Rus)
kruk,circle (Rus)
dver,door (Rus)
svet,light (Rus)
zvuk,sound (Rus)
stol,table (Rus)
kvadrat,square (Rus)
triugolnik,triangle (Rus)
yida,food (Rus)
pajalusta,please (Rus)
izvinit,sorry (Rus)
nravitsa,like (Rus)
bistra,fast (Rus)
radam,beside (Rus)
silni,strong (Rus)
jda,wait (Rus)
,the (Rus)
kupi,buy (Rus)
sini,blue (Rus)
grupa,group (Rus)
adejda,clothes (Rus)
dengi,money (Rus)
dira,hole (Rus)
glupi,silly (Rus)
kontci,finish (Rus)
risava,draw (Rus)
pirivadi,translate (Rus)
sto,hundred (Rus)
tisitca,thousand (Rus)
prada,sell (Rus)
dabavi,add (Rus)
vitci,remove (Rus)
kartina,picture (Rus)
duc,shower (Rus)
kavor,carpet (Rus)
yacik,drawer (Rus)
ckaf,closet (Rus)
sivodna,today (Rus)
ftcira,yesterday (Rus)
zaftra,tomorrow (Rus)
siblink,sibling (Rus)
raditil,parent (Rus)
kamira,camera (Rus)
gatovi,cook (Rus)
nasi,wear (Rus)
skolka,howmuch (Rus)
cas,now (Rus)
probava,taste (Rus)
troga,touch (Rus)
slickam,too (Rus)
toji,also (Rus)
sevir,north (Rus)
yuk,south (Rus)
vastok,east (Rus)
zapat,west (Rus)
fpirot,forward (Rus)
nazat,backward (Rus)
malako,milk (Rus)
kuritsa,chicken (Rus)
kot,cat (Rus)
gromki,loud (Rus)
pagoda,weather (Rus)
imeyl,email (Rus)
intirnet,internet (Rus)
tcacka,cup (Rus)
tarelka,plate (Rus)
miska,bowl (Rus)
vilka,fork (Rus)
locka,spoon (Rus)
palatcka,chopstick (Rus)
tcem,than (Rus)
snova,again (Rus)
cto,thats (Rus)
nay,most (Rus)
prablema,problem (Rus)
ricenye,solution (Rus)
sprasi,ask (Rus)
atveti,answer (Rus)
takcto,so (Rus)
pamag,help (Rus)
pomni,remember (Rus)
stul,chair (Rus)
eti,these (Rus)
tye,those (Rus)
li,? (Rus)
iska,search (Rus)
sartirava,sort (Rus)
otcirit,queue (Rus)
pragram,software (Rus)
uprajn,exercise (Rus)
minuta,minute (Rus)
tcas,hour (Rus)
sikunda,second (Rus)
medliniy,slow (Rus)
mojidbit,maybe (Rus)
rabota,work (Rus)
rabota,function (Rus)
pravila,rule (Rus)
