0,Eng,pie,pa,pii,pbs,ps,
+,I,eghom,iaku,ayham,ezum,yaz,
+,you,tuh,ikasu,tuh,tu,ti,
+,he,ey,sia,,is,ya,
+,we,wey,ikita,wayam,mes,mi,
+,youall,yu,ikamiu,yuam,yus,vi,
+,they,eyes,sida,,eis,yi,
+,this,kos,ini,sa,sis,si,
+,that,so,itsu,,tas,ti,
+,here,ki,dini,,sei,sidi,
+,there,hen,,,,tamo,
+,who,kwis,sima,,kas,kito,
